
0 n/a		_
1 private	1
2 protected	2
3 public	3

0 n/a		_
1 abstract	A
2 final		F

0 n/a		_
1 static	S







CON1__	private const
CON2__	protected const
CON3__	public const

VAR1__	private var
VAR2__	protected var
VAR3__	public var

FUN1__	private function
FUN2__	protected function
FUN3__	public function
FUN2A_	protected abstract function
FUN3A_	public abstract function
FUN1_S	private static function
FUN2_S	protected static function
FUN3_S	public static function
FUN2AS	protected abstract static function
FUN3AS	public abstract static function
FUN1F_	private final function
FUN2F_	protected final function
FUN3F_	public final function
FUN1FS	private final static function
FUN2FS	protected final static function
FUN3FS	public final static function

CST1__	private constructor
CST2__	protected constructor
CST3__	public constructor
CST2A_	protected abstract constructor
CST3A_	public abstract constructor
CST1F_	private final constructor
CST2F_	protected final constructor
CST3F_	public final constructor

DST1__	private destructor
DST2__	protected destructor
DST3__	public destructor
DST2A_	protected abstract destructor
DST3A_	public abstract destructor
DST1F_	private final destructor
DST2F_	protected final destructor
DST3F_	public final destructor

MAG1__	private magic
MAG2__	protected magic
MAG3__	public magic
MAG2A_	protected abstract magic
MAG3A_	public abstract magic
MAG1_S	private static magic
MAG2_S	protected static magic
MAG3_S	public static magic
MAG2AS	protected abstract static magic
MAG3AS	public abstract static magic
MAG1F_	private final magic
MAG2F_	protected final magic
MAG3F_	public final magic
MAG1FS	private final static magic
MAG2FS	protected final static magic
MAG3FS	public final static magic

CLS___	class
CLS_A_	abstract class
CLS_F_	final class

TRA___	trait
INT___	interface
ERR___	Error
FLD___	Folder icon
FIL___	File icon
TDO___	TODO
